name,grants_url,homepage,priority,canada_eligible,canada_confidence,career_stage_eligible,research_fit_score,research_fit_notes,tags,notes,deadline_hint,paper_count
Natural Sciences and Engineering Research Council of Canada,https://www.nserc-crsng.gc.ca/funding-financement/index_eng.asp,https://www.nserc-crsng.gc.ca,high,True,high,True,4,"Strong fit: NSERC Discovery programs support fundamental research in natural sciences and engineering. Applicant's work in ecological restoration, causal inference methods, and AI-assisted evidence synthesis aligns well with NSERC priorities. Translational ecology and knowledge mobilization are increasingly valued. Social-ecological systems and community engagement aspects are well-supported. Some elements (e.g., landowner engagement, social science focus) may be better suited to SSHRC, but ecological restoration and environmental science components are core NSERC territory.",funding; ecology; priority; canada-eligible,"Excellent candidate for NSERC Discovery Grants or ECR-focused programs. Canadian eligibility is certain, research fit is strong, and early faculty stage is well-supported. Monitor for specific program openings and deadlines.",,87
Canada Research Chairs,https://www.chairs-chaires.gc.ca/program-programme/overview-apercu-eng.aspx,https://www.chairs-chaires.gc.ca/,high,True,high,True,4,"Strong fit: CRC supports research excellence across all disciplines including ecology, environmental science, and interdisciplinary work. The applicant's translational ecology, ecological restoration, prairie conservation, and knowledge mobilization align well with CRC's mission to attract and retain research talent. AI-assisted methods and systematic evidence synthesis represent emerging methodological strengths. Social-ecological systems and landowner engagement demonstrate applied impact orientation valued by CRC.",funding; ecology; priority; canada-eligible,Excellent fit for this applicant's career stage and research profile. CRC Tier 2 is designed for early-career faculty; the applicant should apply upon securing a tenure-track position. Strong interdisciplinary credentials and applied conservation impact will be competitive.,,4
National Geographic Society,https://www.nationalgeographic.org/funding-opportunities/,https://www.nationalgeographic.org,high,True,high,True,4,"Strong alignment with NGS's conservation and exploration mission. Applicant's prairie grassland conservation, ecological restoration, and landowner engagement work directly matches NGS priorities. Social-ecological systems and knowledge mobilization are relevant. AI-assisted methods and systematic evidence synthesis are contemporary but may be secondary to traditional field-based conservation focus.",funding; ecology; priority; canada-eligible,"Strong fit for National Geographic Society funding. Canadian eligibility is clear, research in prairie conservation and ecological restoration aligns well with NGS priorities, and career stage is appropriate. Monitor for specific grant program openings (e.g., Early Career Grants, Conservation Trust).",No active call deadline visible in truncated page content; visit nationalgeographic.org/society/grants-and-investments for current opportunities.,3
National Socio-Environmental Synthesis Center,https://www.sesync.org/opportunities,https://www.sesync.org/,high,True,high,True,5,"Excellent fit. SESYNC's core mission is socio-environmental synthesis, directly aligned with applicant's social-ecological systems and translational ecology work. Knowledge mobilization, landowner engagement, and evidence synthesis methods are SESYNC priorities. AI-assisted evidence synthesis and systematic mapping are emerging methodological strengths SESYNC supports.",funding; ecology; priority; canada-eligible,Strong strategic fit for applicant's profile and career transition. SESYNC synthesis projects and working groups directly support interdisciplinary socio-environmental research with knowledge mobilization focus. Monitor for open calls and consider proposal alignment with grassland/prairie conservation as case study for synthesis work.,,2
Natural Environment Research Council,https://www.ukri.org/councils/nerc/funding/,https://www.ukri.org/councils/nerc/,medium,True,medium,True,4,"Strong fit with NERC's environmental research mandate. Ecological restoration, prairie grassland conservation, and social-ecological systems align well with NERC's core interests. Causal inference and systematic mapping methods are competitive. AI-assisted evidence synthesis is emerging but relevant. Knowledge mobilization and landowner engagement show applied/translational focus NERC values.",funding; ecology; canada-eligible,"Good research fit for NERC's environmental and restoration ecology scope, but Canadian eligibility uncertain without direct institutional partnerships or collaborative funding schemes. Monitor for specific calls targeting early-career researchers or international collaborations.",,267
Biotechnology and Biological Sciences Research Council,https://www.ukri.org/councils/bbsrc/funding/,https://www.ukri.org/councils/bbsrc/,medium,True,high,True,3,"Moderate fit. BBSRC priorities typically align with ecological restoration, conservation biology, and social-ecological systems. However, BBSRC's core focus is bioscience research; the applicant's heavy emphasis on AI-assisted methods, ontology development, and knowledge mobilization may fall slightly outside traditional BBSRC scope. Prairie grassland conservation work is relevant, but translational/social dimensions are secondary to BBSRC's biological research mandate.",funding; ecology; canada-eligible,"Monitor for BBSRC calls that explicitly welcome international collaborators or joint NSERC-BBSRC schemes. Research fit is moderate—ecology and conservation align well, but the AI and knowledge mobilization components may not be central to BBSRC priorities. Verify eligibility on a per-call basis before investing effort.",,75
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,https://www.nwo.nl/en/funding,https://www.nwo.nl/,medium,True,medium,,4,"Strong fit for ecological restoration, social-ecological systems, and translational ecology themes that NWO supports. Good alignment with conservation and evidence synthesis methods. AI-assisted evidence synthesis and knowledge mobilization are increasingly relevant to NWO's strategic priorities. Prairie grassland conservation and landowner engagement are somewhat geographically specific (North American focus) but methodologically aligned with NWO's interdisciplinary approach.",funding; ecology; canada-eligible,"NWO could be a good fit for the applicant's interdisciplinary research combining ecology, AI, and social science, particularly through international collaboration schemes. However, eligibility and career-stage fit depend strongly on the specific funding call, which was not accessible. Monitor NWO's international calls and bilateral Canada-Netherlands research partnerships.",,66
Japan Society for the Promotion of Science,https://www.jsps.go.jp/english/e-grants/index.html,https://www.jsps.go.jp/english/,medium,True,medium,True,3,"Moderate overlap. The applicant's ecological restoration, prairie conservation, and social-ecological systems work align with JSPS's broad natural sciences scope. However, the applicant's strength in AI-assisted evidence synthesis, knowledge mobilization, and translational ecology are somewhat niche for traditional JSPS priorities. KAKENHI supports creative and pioneering research across all fields, which could accommodate the interdisciplinary approach, but no specific programs on the page mention these themes.",funding; ecology; canada-eligible,Monitor JSPS programs if the applicant plans collaborative research involving Japanese institutions or considers a postdoctoral fellowship in Japan. Direct KAKENHI eligibility for Canadian-based researchers is unclear; the applicant should verify eligibility and explore JSPS bilateral or international collaboration schemes before investing application effort.,"Page references multiple program types (KAKENHI, bilateral programs, international fellowships) but provides no specific deadline dates or open call status. Link to 'How to apply' and 'Handbook for Researchers' suggests detailed guidance exists elsewhere.",64
Biological and Environmental Research,https://ber.science.energy.gov/funding,,medium,True,medium,True,4,"Strong fit: BER prioritizes ecological restoration, environmental systems research, and translational science. Applicant's work in prairie grassland conservation, social-ecological systems, and translational ecology aligns well. AI-assisted evidence synthesis and causal inference methods are increasingly relevant to BER. Potential gap: BER may emphasize fundamental science over knowledge mobilization and landowner engagement, though these are increasingly valued.",funding; ecology; canada-eligible,"Good research fit for BER's environmental restoration and systems-level focus, but Canadian eligibility constraints and uncertainty about active calls warrant caution. Monitor for specific program announcements and confirm Canadian/institutional eligibility before investing effort.",,38
Austrian Science Fund,https://www.fwf.ac.at/en/research-funding,https://www.fwf.ac.at,medium,True,medium,,3,"Moderate fit. FWF funds basic and applied research across disciplines including ecology and environmental sciences. The applicant's ecological restoration, social-ecological systems, and grassland conservation work aligns with FWF's scope. However, the heavy emphasis on AI-assisted methods, LLMs, and knowledge mobilization may be less central to traditional FWF priorities. Prairie grassland conservation is geographically specific to North America, which may limit relevance for an Austrian funder.",funding; ecology; canada-eligible,"Monitor for future calls, particularly START Prize or international collaboration programs if FWF opens them. Strong ecology background fits FWF scope, but North American focus and interdisciplinary AI methods may be secondary priorities; Canadian eligibility likely requires EEA partnership.",,32
